TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,46.9,26.1,44,30.09,10,WSW,5.8,-,N/A,,Overcast,240,01-01-2013 05:51
1:51 AM,46,27,47,30.07,10,SW,9.2,-,N/A,,Overcast,220,01-01-2013 06:51
2:51 AM,46,28,50,30.06,10,SW,6.9,-,N/A,,Overcast,220,01-01-2013 07:51
3:51 AM,46,28,50,30.07,10,WSW,9.2,-,N/A,,Overcast,250,01-01-2013 08:51
4:51 AM,45,28.9,53,30.06,10,WSW,6.9,-,N/A,,Overcast,240,01-01-2013 09:51
5:51 AM,46,28,50,30.06,10,Calm,Calm,-,N/A,,Overcast,0,01-01-2013 10:51
6:51 AM,45,30,56,30.06,10,WSW,5.8,-,N/A,,Overcast,240,01-01-2013 11:51
7:51 AM,43,34,71,30.08,10,SW,4.6,-,0,Rain,Light Rain,220,01-01-2013 12:51
8:51 AM,44.1,35.1,71,30.08,10,SW,8.1,-,0,Rain,Light Rain,220,01-01-2013 13:51
9:51 AM,44.1,39,82,30.1,7,SSW,5.8,-,0.03,Rain,Light Rain,210,01-01-2013 14:51
10:51 AM,44.1,39.9,85,30.06,8,SW,11.5,-,0.01,Rain,Light Rain,220,01-01-2013 15:51
11:51 AM,45,41,86,30.01,10,SW,12.7,-,0,Rain,Light Rain,220,01-01-2013 16:51
12:51 PM,46,42.1,86,29.96,10,SW,15,-,0,,Overcast,220,01-01-2013 17:51
1:51 PM,46.9,43,86,29.97,8,WSW,12.7,-,0,Rain,Light Rain,240,01-01-2013 18:51
2:51 PM,48,45,89,29.95,8,SW,10.4,-,0.01,Rain,Light Rain,230,01-01-2013 19:51
3:51 PM,48.9,46,90,29.95,8,SW,10.4,-,0,Rain,Light Rain,230,01-01-2013 20:51
4:51 PM,48.9,46.9,93,29.95,5,SW,9.2,-,0.01,Rain,Light Rain,230,01-01-2013 21:51
5:26 PM,48.2,46.4,93,29.97,5,Calm,Calm,-,0.01,Rain,Light Rain,0,01-01-2013 22:26
5:51 PM,48.9,46.9,93,29.98,5,Calm,Calm,-,0.01,Rain,Light Rain,0,01-01-2013 22:51
6:16 PM,48.2,46.4,93,29.98,4,SW,6.9,-,0.02,Rain,Light Rain,220,01-01-2013 23:16
6:51 PM,48.9,48,97,29.97,4,SW,5.8,-,0.04,Rain,Light Rain,220,01-01-2013 23:51
7:16 PM,48.2,48.2,100,29.98,3,WSW,3.5,-,0,Rain,Light Rain,240,02-01-2013 00:16
7:51 PM,50,48,93,29.99,3,West,3.5,-,0.01,Rain,Light Rain,280,02-01-2013 00:51
8:51 PM,50,48.9,96,29.99,3,West,3.5,-,0.02,Rain,Light Rain,260,02-01-2013 01:51
9:15 PM,50,48.2,94,29.98,3,Calm,Calm,-,0.01,Rain,Light Rain,0,02-01-2013 02:15
9:51 PM,50,48.9,96,29.99,2,Calm,Calm,-,0.02,Rain,Light Rain,0,02-01-2013 02:51
10:51 PM,50,48,93,29.98,1.5,Calm,Calm,-,0.02,Rain,Light Rain,0,02-01-2013 03:51
11:51 PM,48.9,48,97,29.97,1.5,Calm,Calm,-,0.02,Rain,Light Rain,0,02-01-2013 04:51
